GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Diplom_3,kz.yandex.practicum.qa.sb.pom.auth,LoginPom,84,91,4,4,14,16,13,7,9,7
Diplom_3,kz.yandex.practicum.qa.sb.pom.auth,ResetPasswordPom,44,72,3,3,7,11,9,7,6,7
Diplom_3,kz.yandex.practicum.qa.sb.pom.auth,RegisterPom,95,151,6,6,13,26,16,12,10,12
Diplom_3,kz.yandex.practicum.qa.sb.rest.order,Order,409,0,78,0,13,0,62,0,23,0
Diplom_3,kz.yandex.practicum.qa.sb.rest.order,CreateOrderResponse,142,0,30,0,7,0,24,0,9,0
Diplom_3,kz.yandex.practicum.qa.sb.rest.order,GetUserOrdersResponse,136,0,20,0,8,0,21,0,11,0
Diplom_3,kz.yandex.practicum.qa.sb.rest.order,IngredientsDeserializer,60,0,8,0,14,0,6,0,2,0
Diplom_3,kz.yandex.practicum.qa.sb.rest.order,OrderRestClient,110,0,8,0,27,0,10,0,6,0
Diplom_3,kz.yandex.practicum.qa.sb.rest.user,UserResponse,144,71,36,16,3,15,26,11,6,5
Diplom_3,kz.yandex.practicum.qa.sb.rest.user,User,429,43,94,0,23,7,65,11,18,11
Diplom_3,kz.yandex.practicum.qa.sb.rest.user,UserRestClient,150,170,20,8,38,46,19,5,5,5
Diplom_3,kz.yandex.practicum.qa.sb.pom,AccountPom,1,78,2,2,0,13,2,8,0,8
Diplom_3,kz.yandex.practicum.qa.sb.pom,ConstructorPom.Tab,0,63,0,0,0,7,0,5,0,5
Diplom_3,kz.yandex.practicum.qa.sb.pom,HeaderPom,34,45,4,0,3,12,5,5,3,5
Diplom_3,kz.yandex.practicum.qa.sb.pom,ConstructorPom,10,108,5,7,3,25,8,14,3,12
Diplom_3,kz.yandex.practicum.qa.sb.pom,HomePom,13,118,7,7,2,17,8,10,1,10
Diplom_3,kz.yandex.practicum.qa.sb.pom,AccountPom.Profile,27,85,5,5,8,12,10,8,5,8
Diplom_3,kz.yandex.practicum.qa.sb.pom,Layout,4,11,0,0,1,4,1,2,1,2
Diplom_3,kz.yandex.practicum.qa.sb.rest.common,CommonRestClient.new Jackson2ObjectMapperFactory() {...},35,3,0,0,8,1,1,1,1,1
Diplom_3,kz.yandex.practicum.qa.sb.rest.common,ApiException,3,7,0,0,1,3,1,1,1,1
Diplom_3,kz.yandex.practicum.qa.sb.rest.common,CommonApiResponse,95,7,18,0,2,2,16,2,7,2
Diplom_3,kz.yandex.practicum.qa.sb.rest.common,CommonRestClient,3,23,0,0,1,5,1,1,1,1
Diplom_3,kz.yandex.practicum.qa.sb.rest.common,Constants,7,0,0,0,1,0,1,0,1,0
Diplom_3,kz.yandex.practicum.qa.sb.rest.common,ApiResponseValidator,18,62,5,9,2,12,6,3,1,1
Diplom_3,kz.yandex.practicum.qa.sb.rest.common,AuthorizationException,0,10,0,0,0,4,0,2,0,2
Diplom_3,kz.yandex.practicum.qa.sb.rest.ingredient,IngredientsResponse,83,0,16,0,4,0,15,0,7,0
Diplom_3,kz.yandex.practicum.qa.sb.rest.ingredient,IngredientRestClient,109,0,8,0,26,0,11,0,7,0
Diplom_3,kz.yandex.practicum.qa.sb.rest.ingredient,Ingredient,527,0,102,0,14,0,80,0,29,0
